Day,Priority,Brand,Country,Segment,Styla category,For,Website,Likely chart URL — VERIFY,Columns to look for,Status,Uploaded,Cuts found,Notes
Day 3,P1,Universal Standard,US,Petite / Tall / Plus,Dresses,Women's,https://universalstandard.com,https://universalstandard.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Universal Standard,US,Petite / Tall / Plus,Tops,Women's,https://universalstandard.com,https://universalstandard.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
Day 3,P1,Adrianna Papell,US,Occasion & bridal party,Dresses,Women's,https://adriannapapell.com,https://adriannapapell.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Alfred Sung (Dessy),CA,Occasion & bridal party,Bridesmaid,Women's,https://dessy.com,https://dessy.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Aritzia (Wilfred),CA,Occasion & bridal party,Dresses,Women's,https://aritzia.com,https://aritzia.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Azazie,US,Occasion & bridal party,Bridesmaid,Women's,https://azazie.com,https://azazie.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,BHLDN,US,Occasion & bridal party,Bridesmaid,Women's,https://bhldn.com,https://bhldn.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Baltic Born,US,Occasion & bridal party,Dresses,Women's,https://balticborn.com,https://balticborn.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Birdy Grey,US,Occasion & bridal party,Bridesmaid,Women's,https://birdygrey.com,https://birdygrey.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Christina Wu,US,Occasion & bridal party,Bridesmaid,Women's,https://christinawu.com,https://christinawu.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,David's Bridal,US,Occasion & bridal party,Bridal,Women's,https://davidsbridal.com,https://davidsbridal.com/pages/size-guide,"bust, waist, hip, hollow-to-hem",Not started,No,,
Day 3,P1,David's Bridal,US,Occasion & bridal party,Bridesmaid,Women's,https://davidsbridal.com,https://davidsbridal.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Dessy Group,US,Occasion & bridal party,Bridesmaid,Women's,https://dessy.com,https://dessy.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Eliza J,US,Occasion & bridal party,Dresses,Women's,https://elizaj.com,https://elizaj.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Fame and Partners,US,Occasion & bridal party,Bridesmaid,Women's,https://fameandpartners.com,https://fameandpartners.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Hello Molly,US,Occasion & bridal party,Dresses,Women's,https://hellomolly.com,https://hellomolly.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,JJ's House,US,Occasion & bridal party,Bridesmaid,Women's,https://jjshouse.com,https://jjshouse.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Jenny Yoo,US,Occasion & bridal party,Bridesmaid,Women's,https://jennyyoo.com,https://jennyyoo.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Kennedy Blue,US,Occasion & bridal party,Bridesmaid,Women's,https://kennedyblue.com,https://kennedyblue.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Le Château,CA,Occasion & bridal party,Dresses,Women's,https://lechateau.com,https://lechateau.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Lulus,US,Occasion & bridal party,Dresses,Women's,https://lulus.com,https://lulus.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Mac Duggal,US,Occasion & bridal party,Dresses,Women's,https://macduggal.com,https://macduggal.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Morilee,US,Occasion & bridal party,Bridal,Women's,https://morilee.com,https://morilee.com/pages/size-guide,"bust, waist, hip, hollow-to-hem",Not started,No,,
Day 3,P1,Morilee,US,Occasion & bridal party,Bridesmaid,Women's,https://morilee.com,https://morilee.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Nadine Merabi,US,Occasion & bridal party,Dresses,Women's,https://nadinemerabi.com,https://nadinemerabi.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Park & Fifth,CA,Occasion & bridal party,Bridesmaid,Women's,https://parkandfifth.com,https://parkandfifth.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Petal & Pup,US,Occasion & bridal party,Dresses,Women's,https://petalandpup.com,https://petalandpup.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Reformation,US,Occasion & bridal party,Dresses,Women's,https://thereformation.com,https://thereformation.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Rent the Runway,US,Occasion & bridal party,Dresses,Women's,https://renttherunway.com,https://renttherunway.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Revelry,US,Occasion & bridal party,Bridesmaid,Women's,https://shoprevelry.com,https://shoprevelry.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Selkie,US,Occasion & bridal party,Dresses,Women's,https://selkiecollection.com,https://selkiecollection.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Sherri Hill,US,Occasion & bridal party,Dresses,Women's,https://sherrihill.com,https://sherrihill.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 3,P1,Show Me Your Mumu,US,Occasion & bridal party,Bridesmaid,Women's,https://showmeyourmumu.com,https://showmeyourmumu.com/pages/size-guide,"bust, waist, hip, hollow-to-hem, extra length",Not started,No,,
Day 3,P1,Terani Couture,US,Occasion & bridal party,Dresses,Women's,https://teranicouture.com,https://teranicouture.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 4,P1,Ash & Erie,US,Tailoring & suits,Bottoms,Men's,https://ashanderie.com,https://ashanderie.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 4,P1,Ash & Erie,US,Tailoring & suits,Tops,Men's,https://ashanderie.com,https://ashanderie.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
Day 4,P1,Banana Republic,US,Tailoring & suits,Suits & Blazers,Men's,https://bananarepublic.gap.com,https://bananarepublic.gap.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Black Lapel,US,Tailoring & suits,Suits & Blazers,Men's,https://blacklapel.com,https://blacklapel.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Bonobos,US,Tailoring & suits,Bottoms,Men's,https://bonobos.com,https://bonobos.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 4,P1,Bonobos,US,Tailoring & suits,Suits & Blazers,Men's,https://bonobos.com,https://bonobos.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Brooks Brothers,US,Tailoring & suits,Dress shirts,Men's,https://brooksbrothers.com,https://brooksbrothers.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 4,P1,Brooks Brothers,US,Tailoring & suits,Suits & Blazers,Men's,https://brooksbrothers.com,https://brooksbrothers.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Buck Mason,US,Tailoring & suits,Tops,Men's,https://buckmason.com,https://buckmason.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
Day 4,P1,Charles Tyrwhitt,US,Tailoring & suits,Dress shirts,Men's,https://ctshirts.com,https://ctshirts.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 4,P1,Coppley,CA,Tailoring & suits,Suits & Blazers,Men's,https://coppley.com,https://coppley.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Deo Veritas,US,Tailoring & suits,Dress shirts,Men's,https://deoveritas.com,https://deoveritas.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 4,P1,Express,US,Tailoring & suits,Suits & Blazers,Men's,https://express.com,https://express.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Garrison Bespoke,CA,Tailoring & suits,Suits & Blazers,Men's,https://garrisonbespoke.com,https://garrisonbespoke.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Generation Tux,US,Tailoring & suits,Suits & Blazers,Men's,https://generationtux.com,https://generationtux.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Harry Rosen,CA,Tailoring & suits,Suits & Blazers,Men's,https://harryrosen.com,https://harryrosen.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Hockerty,US,Tailoring & suits,Suits & Blazers,Both,https://hockerty.com,https://hockerty.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Indochino,CA,Tailoring & suits,Dress shirts,Men's,https://indochino.com,https://indochino.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 4,P1,Indochino,CA,Tailoring & suits,Suits & Blazers,Men's,https://indochino.com,https://indochino.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,J.Crew Ludlow,US,Tailoring & suits,Suits & Blazers,Men's,https://jcrew.com,https://jcrew.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Moores Clothing,CA,Tailoring & suits,Suits & Blazers,Men's,https://mooresclothing.ca,https://mooresclothing.ca/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Nordstrom Bespoke,US,Tailoring & suits,Suits & Blazers,Men's,https://nordstrom.com,https://nordstrom.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Oliver Wicks,US,Tailoring & suits,Suits & Blazers,Men's,https://oliverwicks.com,https://oliverwicks.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Peter Manning NYC,US,Tailoring & suits,Bottoms,Men's,https://petermanningnyc.com,https://petermanningnyc.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 4,P1,Peter Manning NYC,US,Tailoring & suits,Tops,Men's,https://petermanningnyc.com,https://petermanningnyc.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
Day 4,P1,Proper Cloth,US,Tailoring & suits,Dress shirts,Men's,https://propercloth.com,https://propercloth.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 4,P1,RW&CO.,CA,Tailoring & suits,Suits & Blazers,Men's,https://rw-co.com,https://rw-co.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Ratio Clothing,US,Tailoring & suits,Dress shirts,Men's,https://ratioclothing.com,https://ratioclothing.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 4,P1,Samuelsohn,CA,Tailoring & suits,Suits & Blazers,Men's,https://samuelsohn.com,https://samuelsohn.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Spier & Mackay,CA,Tailoring & suits,Dress shirts,Men's,https://spierandmackay.com,https://spierandmackay.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 4,P1,Spier & Mackay,CA,Tailoring & suits,Suits & Blazers,Men's,https://spierandmackay.com,https://spierandmackay.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,SuitSupply,US,Tailoring & suits,Dress shirts,Men's,https://suitsupply.com,https://suitsupply.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 4,P1,SuitSupply,US,Tailoring & suits,Suits & Blazers,Men's,https://suitsupply.com,https://suitsupply.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 4,P1,Surmesur,CA,Tailoring & suits,Suits & Blazers,Men's,https://surmesur.com,https://surmesur.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 5,P1,The Black Tux,US,Tailoring & suits,Suits & Blazers,Men's,https://theblacktux.com,https://theblacktux.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 5,P1,Tip Top Tailors,CA,Tailoring & suits,Suits & Blazers,Men's,https://tiptop.ca,https://tiptop.ca/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 5,P1,Todd Snyder,US,Tailoring & suits,Suits & Blazers,Men's,https://toddsnyder.com,https://toddsnyder.com/pages/size-guide,"chest, waist, sleeve, shoulder, neck, S/R/L length",Not started,No,,
Day 5,P1,Alo Yoga,US,Active & mainstream volume,Leggings,Women's,https://aloyoga.com,https://aloyoga.com/pages/size-guide,"waist, hip, inseam, rise",Not started,No,,
Day 5,P1,Arc'teryx,CA,Active & mainstream volume,Coats & Jackets,Both,https://arcteryx.com,https://arcteryx.com/pages/size-guide,"chest, waist, hip, sleeve, body length",Not started,No,,
Day 5,P1,Aritzia,CA,Active & mainstream volume,Bottoms,Women's,https://aritzia.com,https://aritzia.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 5,P1,Aritzia,CA,Active & mainstream volume,Coats & Jackets,Women's,https://aritzia.com,https://aritzia.com/pages/size-guide,"chest, waist, hip, sleeve, body length",Not started,No,,
Day 5,P1,Canada Goose,CA,Active & mainstream volume,Coats & Jackets,Both,https://canadagoose.com,https://canadagoose.com/pages/size-guide,"chest, waist, hip, sleeve, body length",Not started,No,,
Day 5,P1,Club Monaco,CA,Active & mainstream volume,Tops,Both,https://clubmonaco.com,https://clubmonaco.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
